kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
5024268,K06494.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,1,2.15045295,1.951e-05,-1.951e-05,0.3604,4.453,169.1,24.27,1.79,-1.58,4340.0,83894.63,25.8,1.0,q1_q17_dr24_tce,4899.0,2.356,18.92,295.29596,40.186569,11.359
5024372,K06495.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,0.561524348,6.97e-06,-6.97e-06,0.4172,3.336,34.1,0.43,0.11,-0.04,2050.0,4173.47,15.7,1.0,q1_q17_dr24_tce,5919.0,4.55,0.715,295.31177,40.19759,14.564
5633259,K06610.01,,CANDIDATE,CANDIDATE,,0,0,0,0,315.07717192,,,,10.31,,,,,,,,1.0,q1_q17_dr24_tce,,,,295.55298,40.877991,15.341
5647638,K06611.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.21607873,3.892e-05,-3.892e-05,0.991,4.686,29.4,1.92,0.36,-1.02,2803.0,14545.24,11.2,1.0,q1_q17_dr25_tce,6234.0,3.741,2.5,298.64252,40.838909,13.333
5653126,K06612.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,38.49536985,8.083e-05,-8.083e-05,1.013,12.8716,93327.0,124.34,26.25,-61.29,824.0,109.13,201.9,1.0,q1_q17_dr25_tce,6050.0,3.823,2.345,299.702,40.896271,13.173
5686974,K06613.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,0,1,4.18224416,5.124e-05,-5.124e-05,0.99,6.209,57.2,1.07,0.31,-0.16,1206.0,500.7,13.8,1.0,q1_q17_dr25_tce,6057.0,4.392,0.999,284.87558,40.984428,13.732
5696909,K06614.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.643002821,7.9e-08,-7.9e-08,1.261,1.02608,2671.5,36.82,12.41,-8.24,2188.0,5409.39,295.6,1.0,q1_q17_dr25_tce,5681.0,4.315,1.036,289.07111,40.978809,14.984
5697628,K06615.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.95119541,1.715e-05,-1.715e-05,0.1533,1.907,59.7,0.47,0.07,-0.03,1050.0,287.41,7.7,1.0,q1_q17_dr24_tce,4936.0,4.681,0.628,289.30341,40.924229,15.105
5700330,K06616.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,53.220416998,5.752e-06,-5.752e-06,0.248,17.7344,72895.3,55.22,7.84,-15.7,655.0,43.63,4563.5,1.0,q1_q17_dr25_tce,5653.0,3.905,2.057,290.15335,40.90163,13.613
5702770,K06617.01,,CANDIDATE,CANDIDATE,0.852,0,0,0,0,8.0018897,0.0001045,-0.0001045,0.442,3.425,102.7,0.9,0.26,-0.08,864.0,131.75,9.8,1.0,q1_q17_dr25_tce,5830.0,4.54,0.876,290.91504,40.988499,15.032
